date,key_change,taux,x_vers_euro
2023-02-09,JPY,140.8,0.007102272727272727
2023-02-08,USD,1.0735,0.9315323707498836
2023-02-08,JPY,140.81,0.007101768340316739
2023-02-07,USD,1.07,0.9345794392523364
2023-02-07,JPY,141.3,0.007077140835102618
2023-02-06,USD,1.0776,0.9279881217520417
2023-02-06,JPY,142.41,0.007021978793624043
2023-02-03,USD,1.0937,0.9143275121148396
2023-02-03,JPY,140.45,0.00711997152011392
2023-02-02,USD,1.0988,0.9100837277029487
2023-02-02,JPY,141.12,0.007086167800453514
2023-02-01,USD,1.0894,0.9179364787956674
2023-02-01,JPY,141.37,0.0070736365565537244
2023-01-31,USD,1.0833,0.9231053263177329
2023-01-31,JPY,141.27,0.0070786437318609745
2023-01-30,USD,1.0903,0.9171787581399614
2023-01-30,JPY,141.79,0.007052683546089287
2023-01-27,USD,1.0865,0.9203865623561895
2023-01-27,JPY,141.1,0.007087172218284905
2023-01-26,USD,1.0895,0.9178522257916476
2023-01-26,JPY,141.38,0.007073136228603763
2023-01-25,USD,1.0878,0.9192866335723477
2023-01-25,JPY,141.17,0.007083658000991712
2023-01-24,USD,1.0858,0.9209799226376865
2023-01-24,JPY,141.47,0.007068636460026861
2023-01-23,USD,1.0871,0.9198785760279643
2023-01-23,JPY,141.65,0.0070596540769502295
2023-01-20,USD,1.0826,0.9237021984112322
2023-01-20,JPY,140.86,0.007099247479767144
2023-01-19,USD,1.0815,0.9246417013407305
2023-01-19,JPY,139.02,0.007193209610128038
2023-01-18,USD,1.0839,0.9225943352707814
2023-01-18,JPY,139.79,0.007153587524143358
2023-01-17,USD,1.0843,0.9222539887485013
2023-01-17,JPY,139.5,0.007168458781362007
2023-01-16,USD,1.0812,0.924898261191269
2023-01-16,JPY,138.92,0.007198387561186295
2023-01-13,USD,1.0814,0.9247272054743851
2023-01-13,JPY,139.02,0.007193209610128038
2023-01-12,USD,1.0772,0.9283327144448571
2023-01-12,JPY,140.61,0.007111869710546902
2023-01-11,USD,1.0747,0.9304922303898763
2023-01-11,JPY,142.61,0.007012130986606829
